SRR14537333	S07_016	RXRG_17_Rnd2_Lib1
SRR14537332	S07_137	RXRG_17_Rnd3_Lib1
SRR14537331	S07_051	RXRG_Rnd2_Lib1
SRR14537330	S07_172	RXRG_Rnd3_Lib1
SRR14537334	S13_162	RXRG-RXRA_Rnd3_Lib1
SRR14537233	S07_012	SF1_Rnd2_Lib1
SRR14537232	S07_133	SF1_Rnd3_Lib1
SRR14537235	S13_159	SF1-RXRA_Rnd3_Lib1
SRR14537288	S07_102	THRA_7_Rnd3_Lib1
SRR14537291	S07_034	THRA_Rnd2_Lib1
SRR14537290	S07_154	THRA_Rnd3_Lib1
SRR14537292	S13_124	THRA-RXRA_7_Rnd2_Lib1
SRR14537293	S13_163	THRA-RXRA_Rnd3_Lib1
SRR14537283	S07_103	THRB_7_Rnd3_Lib1
SRR14537285	S07_035	THRB_Rnd2_Lib1
SRR14537284	S07_155	THRB_Rnd3_Lib1
SRR14537286	S13_127	THRB-RXRA_7_Rnd2_Lib1
SRR14537287	S13_164	THRB-RXRA_Rnd3_Lib1
SRR14537230	S07_084	TLX_Rnd2_Lib1
SRR14537229	S07_109	TLX_Rnd3_Lib1
SRR14537231	S13_145	TLX-RXRA_Rnd3_Lib1
SRR14537241	S07_107	TR2_Rnd3_Lib1
SRR14537240	S07_083	TR4_Rnd2_Lib1
SRR14537239	S07_108	TR4_Rnd3_Lib1
SRR14537309	S07_079	VDR_10_Rnd2_Lib1
SRR14537263	S07_054	VDR_Rnd2_Lib1
SRR14537262	S07_173	VDR_Rnd3_Lib1
SRR14537264	S13_165	VDR-RXRA_Rnd3_Lib1
